exp_id	tok_s	vram_mb	n_ctx	kv_type_k	kv_type_v	flash_attn	n_gpu	n_batch	n_ubatch	label	status	notes
1	0.000	0	512	q8_0	q8_0	False	16	252	94	p10_noflash	oom	Failed to create context (OOM?)
2	12.331	7751	512	q8_0	q8_0	True	17	252	94	p10_ngpu17	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=12.214tok/s internal=12.331tok/s, gen=264, t_eval=21327.8ms
3	0.000	0	512	q8_0	q8_0	True	18	252	94	p10_ngpu18	crash	Failed to load model
4	12.066	7751	512	f16	f16	True	17	252	94	p10_ngpu17_f16kv	ok	n_gpu=17, batch=252/94, f16 KV, n_ctx=512, flash=1 — wall=11.957tok/s internal=12.066tok/s, gen=264, t_eval=21797.0ms
5	12.205	7757	512	q8_0	q8_0	True	17	280	100	p10_ngpu17_batch280	ok	n_gpu=17, batch=280/100, q8_0 KV, n_ctx=512, flash=1 — wall=12.097tok/s internal=12.205tok/s, gen=264, t_eval=21549.2ms
6	12.264	7749	512	q8_0	q8_0	True	17	240	90	p10_ngpu17_batch240	ok	n_gpu=17, batch=240/90, q8_0 KV, n_ctx=512, flash=1 — wall=12.163tok/s internal=12.264tok/s, gen=264, t_eval=21444.2ms
8	12.043	7751	256	q8_0	q8_0	True	17	252	94	p10_ngpu17_ctx256	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=256, flash=1 — wall=11.954tok/s internal=12.043tok/s, gen=128, t_eval=10546.0ms
9	12.268	7751	512	q8_0	q8_0	True	17	252	94	p10_ngpu17_thr9	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=12.177tok/s internal=12.268tok/s, gen=264, t_eval=21438.2ms
10	11.242	7751	512	q8_0	q8_0	True	17	252	94	p10_ngpu17_thr13	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=11.151tok/s internal=11.242tok/s, gen=264, t_eval=23394.2ms
11	11.973	7749	512	q8_0	q8_0	True	17	220	80	p10_ngpu17_batch220	ok	n_gpu=17, batch=220/80, q8_0 KV, n_ctx=512, flash=1 — wall=11.866tok/s internal=11.973tok/s, gen=264, t_eval=21965.6ms
12	11.045	7757	512	q8_0	q8_0	True	17	300	110	p10_ngpu17_batch300	ok	n_gpu=17, batch=300/110, q8_0 KV, n_ctx=512, flash=1 — wall=10.949tok/s internal=11.045tok/s, gen=264, t_eval=23811.9ms
13	10.457	7751	512	q8_0	q8_0	True	17	252	94	p10_ngen260	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=10.368tok/s internal=10.457tok/s, gen=260, t_eval=24768.0ms
14	10.255	7751	512	q8_0	q8_0	True	17	252	94	p10_ngen262	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=10.171tok/s internal=10.255tok/s, gen=262, t_eval=25451.4ms
15	10.163	7751	512	q8_0	q8_0	True	17	252	94	p10_ngen266	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=10.088tok/s internal=10.163tok/s, gen=266, t_eval=26074.1ms
16	9.390	7751	512	q8_0	q8_0	True	17	252	94	p10_ngen268	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=9.320tok/s internal=9.390tok/s, gen=268, t_eval=28434.3ms
17	7.139	7751	512	q8_0	q8_0	True	17	244	94	p10_batch244	ok	n_gpu=17, batch=244/94, q8_0 KV, n_ctx=512, flash=1 — wall=7.100tok/s internal=7.139tok/s, gen=264, t_eval=36837.3ms
18	9.243	7751	512	q8_0	q8_0	True	17	248	94	p10_batch248	ok	n_gpu=17, batch=248/94, q8_0 KV, n_ctx=512, flash=1 — wall=9.175tok/s internal=9.243tok/s, gen=264, t_eval=28455.4ms
19	10.243	7751	512	q8_0	q8_0	True	17	256	94	p10_batch256	ok	n_gpu=17, batch=256/94, q8_0 KV, n_ctx=512, flash=1 — wall=10.154tok/s internal=10.243tok/s, gen=264, t_eval=25676.3ms
20	10.098	7751	512	q8_0	q8_0	True	17	252	94	p10_threads10	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=10.007tok/s internal=10.098tok/s, gen=264, t_eval=26045.4ms
21	8.835	7751	512	q8_0	q8_0	True	17	252	94	p10_threads12	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=512, flash=1 — wall=8.777tok/s internal=8.835tok/s, gen=264, t_eval=29767.5ms
23	9.386	7751	384	q8_0	q8_0	True	17	252	94	p10_ctx384	ok	n_gpu=17, batch=252/94, q8_0 KV, n_ctx=384, flash=1 — wall=9.318tok/s internal=9.386tok/s, gen=264, t_eval=28019.5ms
24	9.730	7751	512	q8_0	q8_0	True	17	254	94	p10_batch254	ok	n_gpu=17, batch=254/94, q8_0 KV, n_ctx=512, flash=1 — wall=9.650tok/s internal=9.730tok/s, gen=264, t_eval=27031.2ms
